GeneID	HBXGZ	HBXHA	HBXHB	HBXHC	HBXHG	HBXHH	HBXHN	HBXHO	HBXHP	HBXHS	HBXHT	HBXHU	HBXHW	HBXHX	HBXHY	HBXHZ	HBXNA	HBXNB	HBXNC	HBXNG	HBXNH	HBXNN	HBXNO	HBXNP	HBXNS	HBXNT	HBXNU
639297556	59.59	60.33	64.49	9.31	11.74	9.89	15.4	11.4	21.24	11.05	15.13	8.94	12.48	14.3	15.55	2.05	6.43	1.11	3.06	3.01	0.81	5.59	0.4	6.5	1.46	3.17	4.87
639297557	97.31	87.74	89.76	77.03	80.62	86.54	100.97	99.1	96.89	105.75	109.32	100.03	84.47	76.22	80.84	23.98	16.2	30.58	15.56	20.38	33.2	32.65	40.6	39.25	72.03	31.87	38.06
639297558	6.62	1.94	5.03	3.53	3.57	6.67	6.11	3.2	5.46	2.24	3.28	4.25	6.0	5.34	10.1	2.08	7.57	2.24	2.6	1.83	2.95	5.34	4.88	5.74	2.85	4.33	2.46
639297559	67.96	70.05	74.56	72.58	61.7	69.48	63.17	61.26	70.41	61.35	65.36	51.94	69.58	83.01	80.0	8.5	7.46	13.09	6.71	6.03	6.48	6.74	11.86	8.34	25.07	8.85	11.45
639297560	226.03	175.25	188.87	142.07	84.09	114.49	184.09	131.95	151.46	118.5	128.95	127.93	204.42	178.57	211.99	35.92	26.67	41.23	29.22	26.67	26.83	42.76	43.43	51.05	38.42	36.44	35.46
639297561	30.16	34.34	28.71	23.63	30.5	27.68	33.29	40.6	42.82	32.63	22.45	35.61	43.95	27.54	29.36	116.28	138.25	121.85	269.15	135.44	139.82	165.27	176.92	177.12	79.41	105.56	98.82
639297562	194.31	215.25	209.33	616.63	764.03	660.85	653.02	692.15	648.7	590.9	570.51	600.09	735.8	674.08	773.67	375.23	124.9	419.11	88.66	205.01	288.82	131.92	214.48	144.44	1120.93	590.61	598.73
639297563	85.75	75.04	81.37	44.51	39.65	49.9	53.79	58.38	52.08	67.9	78.63	71.32	50.12	49.95	51.04	92.32	96.54	84.84	90.81	78.89	71.45	129.71	138.01	150.25	61.77	87.26	84.49
639297564	59.1	61.23	57.4	57.3	55.85	56.69	59.98	52.46	58.08	52.31	46.96	62.5	48.33	49.2	52.86	15.64	9.6	18.2	9.38	10.21	11.79	15.06	14.95	18.85	25.91	21.31	17.32
639297565	7.39	5.14	7.96	2.96	4.26	4.1	6.72	6.14	7.61	6.71	4.94	8.17	6.08	3.36	5.27	11.01	9.33	8.77	10.17	10.46	9.05	11.51	8.45	10.61	12.51	12.76	13.19
639297566	8.07	9.46	13.49	8.81	10.07	8.68	9.94	8.37	7.93	11.22	10.84	14.58	7.7	7.42	7.73	13.95	12.37	11.92	9.97	19.69	12.78	17.75	16.93	17.98	16.68	9.52	12.28
639297567	93.29	96.84	103.74	75.68	70.18	74.94	94.37	133.39	115.16	186.61	189.16	190.9	93.4	46.03	68.99	93.68	63.37	90.87	50.69	77.43	99.67	323.73	297.85	329.85	85.61	63.14	60.65
639297568	12.0	8.34	8.04	10.36	7.03	7.27	7.6	8.21	10.07	7.41	14.42	9.71	9.16	6.78	7.92	7.26	4.34	2.02	2.2	3.09	3.88	3.83	2.61	4.95	7.42	4.07	2.64
639297569	52.44	49.24	54.12	43.55	46.44	44.89	48.21	50.11	52.98	50.16	47.81	47.42	45.28	43.65	50.81	10.73	7.55	15.71	6.03	7.2	9.11	9.5	13.29	10.93	26.5	15.89	15.69
639297570	65.71	60.4	66.27	64.23	58.04	66.9	57.99	61.47	76.08	63.74	61.23	59.12	61.35	63.76	65.89	8.56	6.17	11.69	5.09	7.16	6.95	11.61	11.02	9.56	16.33	9.56	13.49
639297571	564.84	569.67	580.09	593.42	561.49	594.88	535.43	558.88	588.6	520.07	486.44	496.52	541.5	548.51	591.15	60.84	40.38	106.98	39.87	45.04	61.1	47.24	72.36	51.39	144.86	91.77	117.94
639297572	255.92	267.75	236.11	366.29	259.91	302.44	430.15	546.62	414.27	525.36	479.22	509.36	273.96	222.52	216.28	54.46	29.12	97.04	45.9	79.07	99.33	38.45	38.43	34.94	425.36	232.05	286.44
639297573	929.03	977.88	936.43	987.99	1272.16	1046.88	890.76	1009.48	922.27	1133.87	1038.09	1118.41	1074.68	971.12	721.34	542.44	169.06	553.83	148.52	390.84	493.28	403.61	465.93	403.84	1436.91	653.84	1012.3
639297574	209.28	198.89	208.16	224.41	254.95	222.43	199.16	250.91	237.21	283.8	236.32	260.14	255.06	213.08	216.77	148.89	50.95	155.92	51.26	78.43	110.4	104.91	117.66	110.52	363.22	197.5	224.34
639297575	142.3	122.91	159.69	144.64	152.0	125.43	120.36	150.77	145.08	172.67	158.77	159.49	154.32	127.02	128.29	51.93	23.15	64.01	32.13	39.5	41.13	58.44	64.74	65.48	153.92	62.4	77.67
639297576	124.45	125.29	136.09	106.01	131.94	120.08	98.94	134.27	148.45	154.63	134.29	134.99	135.92	104.05	113.73	52.38	28.01	68.7	34.76	46.1	52.34	67.52	75.9	67.85	122.33	63.19	71.62
639297577	69.41	69.89	63.73	402.98	402.44	383.45	348.5	328.51	335.88	453.74	458.47	480.9	417.23	434.97	405.63	15.24	20.13	45.51	22.68	26.13	22.19	30.35	26.3	27.98	64.64	34.76	25.96
639297578	11.33	11.47	10.27	11.65	7.45	7.33	6.6	11.05	12.5	13.75	12.86	11.01	10.31	8.11	12.56	9.82	8.36	6.7	6.01	8.25	7.95	8.3	5.01	8.59	11.51	11.38	7.05
639297579	203.08	189.71	191.59	150.2	182.82	150.74	155.84	197.4	195.89	226.45	209.48	201.94	168.81	140.11	157.12	52.43	42.55	67.57	94.25	92.29	102.0	92.01	102.64	93.27	88.25	78.97	72.32
639297580	230.79	231.38	243.89	186.45	232.94	198.94	166.35	189.83	187.21	218.19	211.79	213.2	179.93	163.82	164.3	26.31	13.08	40.42	19.32	30.34	34.27	52.49	69.67	51.7	64.26	33.58	39.87
639297581	92.66	88.06	91.37	88.31	106.45	90.41	76.6	88.07	85.52	96.57	90.3	101.06	88.29	72.99	77.35	17.86	10.07	21.89	9.8	16.11	19.6	37.96	33.54	31.56	38.95	19.41	22.16
639297582	182.74	186.61	185.75	195.6	203.68	188.58	154.66	179.2	191.21	203.06	197.67	190.01	173.0	141.38	151.14	57.26	28.87	74.33	36.58	53.05	63.66	94.1	105.12	94.68	119.99	64.26	82.62
639297583	63.82	64.77	68.58	67.42	66.36	66.62	57.53	60.61	72.86	66.28	66.83	63.44	55.74	56.83	61.04	15.88	9.47	20.86	12.16	16.42	24.05	22.8	29.31	25.19	30.26	21.93	21.3
639297584	154.9	159.56	168.1	153.77	144.9	140.81	131.38	144.1	148.03	147.86	136.79	145.74	125.57	119.87	147.3	36.88	19.78	52.5	30.03	41.74	45.42	64.51	59.33	71.17	53.82	50.45	37.98
639297585	123.59	121.4	118.94	101.43	112.23	107.02	91.39	97.84	98.23	132.3	124.17	120.36	91.42	79.94	77.76	30.94	16.09	37.07	20.18	34.22	46.78	53.11	60.73	51.61	44.76	45.5	45.35
639297586	205.85	193.11	202.04	163.74	158.47	144.51	143.41	167.28	156.19	188.03	178.6	180.53	163.26	122.76	133.58	58.95	33.23	68.02	41.1	67.78	83.02	103.71	114.23	96.64	89.52	93.81	92.69
639297587	135.11	134.74	130.69	118.48	131.66	121.1	110.86	124.85	118.89	147.1	128.52	131.71	109.07	92.52	89.49	54.52	24.89	60.87	30.42	66.02	79.11	101.49	110.87	96.8	121.33	84.96	88.85
639297588	129.27	137.56	144.69	117.43	144.87	122.58	103.26	134.78	128.51	160.59	146.66	157.34	104.24	89.66	93.46	81.58	29.41	90.97	42.46	100.35	103.91	131.74	147.09	147.28	178.02	90.91	117.97
639297589	92.81	95.92	106.2	87.97	98.32	86.53	88.34	109.45	104.76	118.56	99.74	119.88	96.45	86.96	86.58	55.9	23.93	65.6	37.8	69.6	76.25	97.71	110.9	89.58	101.61	79.2	83.09
639297590	442.67	426.08	429.27	400.86	407.73	367.81	426.86	484.34	461.68	540.79	494.47	473.64	435.79	351.18	359.22	1012.82	676.25	1002.41	634.01	788.76	939.14	1078.13	1208.08	1005.99	848.67	1357.22	1289.62
639297591	2.67	4.87	3.51	22.14	14.37	17.57	12.63	7.57	18.34	11.22	9.46	9.47	15.43	15.91	15.96	12.5	9.34	9.85	5.59	6.3	11.7	11.86	10.4	11.91	8.03	8.75	11.73
639297592	4.99	5.32	4.25	13.42	9.03	14.83	12.6	15.14	11.1	15.11	9.69	12.55	14.79	12.69	14.27	7.71	6.7	4.17	1.73	3.28	3.73	6.76	6.39	7.57	4.5	4.67	3.12
639297593	5.24	4.93	7.23	20.87	14.34	14.99	14.77	16.39	17.4	19.62	12.41	12.42	15.15	16.96	18.24	8.43	5.75	7.46	8.92	18.99	19.04	17.02	12.84	16.88	22.33	36.65	30.91
639297594	3.41	4.45	3.66	5.9	4.67	3.93	6.01	5.35	4.63	5.04	6.02	5.18	4.55	4.7	5.75	11.42	8.16	7.13	5.78	6.21	5.15	7.07	7.27	8.75	8.85	11.11	9.43
639297595	0.8	1.23	0.94	1.49	1.5	2.07	1.06	1.8	2.72	0.24	0.55	1.59	1.07	2.54	2.59	4.21	3.3	1.33	0.78	2.51	2.49	4.51	1.65	4.24	3.3	2.23	0.42
639297596	23.72	22.38	27.46	21.38	17.13	20.14	21.84	20.06	19.94	23.79	22.63	22.87	18.63	20.21	24.52	8.52	6.04	8.83	4.72	6.87	5.2	8.52	8.47	10.32	15.05	5.91	7.92
639297597	38.52	32.62	36.9	22.78	24.09	24.34	26.7	29.75	25.25	25.51	29.64	24.43	24.77	24.09	30.92	11.1	7.77	9.9	5.91	9.02	4.38	9.16	10.98	9.66	18.79	8.68	10.03
639297598	11.04	7.02	9.92	3.96	2.38	2.28	4.53	3.15	3.93	1.83	2.76	1.76	2.8	5.3	4.71	5.04	6.15	2.72	2.08	3.63	2.29	6.11	2.28	6.19	3.15	1.57	3.91
639297599	84.19	78.99	77.53	68.47	45.25	54.47	63.21	65.96	73.39	52.77	51.93	52.15	62.11	73.59	95.17	10.47	10.02	13.05	14.65	27.17	24.76	20.69	20.98	23.4	9.88	10.73	11.45
639297600	112.85	113.97	114.38	88.42	81.98	92.6	102.43	113.01	125.65	98.08	99.9	93.52	93.38	99.48	116.06	294.92	318.18	291.88	502.55	564.58	472.76	425.7	391.58	468.79	230.24	407.98	313.12
