Module	LB1	LB2	LB3	Glucose1	Glucose2	Glucose3	Mannose1	Mannose2	Mannose3	Mannitol1	Mannitol2	Mannitol3	Arabinose1	Arabinose2	Arabinose3	Acetate1	Acetate2	Acetate3	Succinate1	Succinate2	Succinate3	Fumarate1	Fumarate2	Fumarate3	PCA1	PCA2	PCA3
P3_I7_M5	0.0606431404110174	0.0471580281032166	0.057737500695029	-0.160659574450005	-0.211948770446961	-0.181049267645372	-0.142532762324247	-0.135243295968125	-0.149215051767801	-0.0981073110854662	-0.104189435075004	-0.107550753776389	-0.179164577026198	-0.178418450493055	-0.16320091734283	0.00347455443071758	0.0581737676441931	-0.0270739078980504	0.581892386962042	0.313113297900356	0.180326525916005	0.273791402151402	0.248689781389172	0.259535008068056	-0.135499272634028	-0.0251095942520209	-0.0855724514856552
P2_I7_M2	-0.129541779565448	-0.144021680682413	-0.141602440326457	0.237178516429987	0.231831796984518	0.230666832284827	0.190095160534645	0.227894554877658	0.242630619735811	0.197387062580468	0.196291800681221	0.184166916038044	0.181084831142764	0.148021775124723	0.209861071181094	-0.162165941343488	-0.246494975380746	-0.137182944403093	-0.279851351554331	-0.239493302645248	-0.221603564039666	-0.178515518850947	-0.162907157515478	-0.160692208188286	0.0292408889378602	-0.16978043768492	-0.132498524353097
P4_I5_M1	-0.252485269903057	-0.246590524523215	-0.23632280446678	0.0118191614964852	-0.1648323554747	-0.0974037923609761	0.0762945769447839	0.053034644598184	-0.0105676795274386	-0.0752911816353227	-0.0285158773287361	-0.107589006762263	-0.0642774591654296	-0.0556727384380043	-0.0475529795432391	-0.120317230890701	-0.0709842167494585	-0.136990354592703	-0.00524541529254402	-0.0274764797195708	-0.0240676802722856	0.047770226346245	0.194846088483551	0.0302611811279611	0.270383541312239	0.56585591545669	0.521917710880287
P4_I5_M3	0.0494903782960444	0.00420069752877725	0.0689581916839311	0.162370209365171	0.0157616583011473	0.0488108695495515	0.228166222394504	0.229842091515608	0.303610842827546	0.235887136313807	0.278904386634768	0.176473821424156	0.0458268216676898	-0.0234963541141033	0.172286131627451	-0.0898920859822688	-0.245814461622178	-0.0931753943153494	-0.373083305965869	-0.327123533254476	-0.338469169186151	-0.214326881031392	-0.214164087073758	-0.157427337036494	0.114345412605863	-0.0450794129340919	-0.0128828492198811
P4_I5_M4	0.329506727049806	0.246631383283597	0.228938030016513	0.123739284812895	-0.0190630960570917	0.0763172682930774	0.208209646716995	0.105704891817455	0.216651894536076	0.108213440784223	0.0844157969461756	0.101941609613632	0.0745318274460054	0.114386765134493	0.236136439559166	-0.0862249995084637	-0.0933425427480772	-0.202208957987189	-0.239715997697574	-0.249767641817929	-0.334779534372914	-0.0671694370922819	-0.0996339090593041	-0.00116457748504117	-0.288085500873645	-0.273547505237502	-0.300621306073096
P4_I5_M2	-0.331985529694405	-0.357252589271284	-0.353197230167987	0.131891686818207	0.0971630483351527	0.150448368272897	0.124678141590994	0.140660086001053	0.199848896803321	0.0129743590242938	0.00408233193427039	0.00468024009504067	0.0334444092823044	-0.0388000686972994	0.122922771517633	0.28242101925076	-0.0602564438567597	0.206747828039686	-0.344354552830161	-0.248224060869362	-0.211930595830593	-0.0608679435954991	-0.0604956046806114	0.0275909363265958	0.339866420102446	0.0609323024287258	0.127011773670581
P2_I7_M4	-0.217815858072176	-0.23057921018798	-0.225061128140165	-0.128764967781275	-0.128519804888975	-0.126971793358364	-0.136690569472606	-0.117372776927374	-0.113564405104498	-0.141504073158681	-0.133812293701519	-0.143906155082891	-0.137403870454452	-0.167692830627573	-0.136301790107745	0.304876039002716	0.0951840776731523	0.237564724621522	0.002163093640273	0.104911904689971	0.16961575700642	0.0888080194853963	0.0718278606038737	0.107702313084376	0.366894755065774	0.342652376386279	0.393760605806519
P3_I7_M4	-0.160715011624846	-0.171798771448077	-0.156648186006127	-0.14006720720212	-0.149785577004458	-0.145280705907719	-0.126342975789193	-0.134883389872516	-0.12034373984722	-0.132794100883363	-0.137036747246445	-0.14298421244972	-0.149848752455016	-0.152771897584553	-0.111258611414807	0.429009105429696	0.533778715022754	0.317272320252459	0.217444586864238	0.0440552246115778	0.00147967664552638	0.137149468134225	0.0663135841078177	0.145340626389001	0.000304375106947346	0.144714878118439	0.0956973260535005
P1_I8_M3	0.541482552378364	0.525135670306442	0.553482400910554	-0.0904160869798893	-0.103561799928588	-0.0949828700758793	-0.0719228836719393	-0.0775590402584414	-0.0692070548564813	-0.0614027634050075	-0.0651074361480891	-0.0683263818842159	-0.0877913735477901	-0.068848431757034	-0.0822743856739202	-0.033412103683387	-0.0274047044895041	-0.0819267448357926	-0.0843518377966321	-0.0692033861981077	-0.096924231742668	-0.0205040905560822	-0.0363122687171491	-0.00115477119955698	-0.0733107273406349	-0.0747064519787672	-0.0794887968698028
P2_I7_M5	-0.0956836239736184	-0.112600661360587	-0.0986213822425763	-0.117972526362073	-0.139624327533841	-0.126024665693974	-0.0932185768577776	-0.0904890257760074	-0.0711335615155293	-0.0664251270839983	-0.0650193384768965	-0.0796138944917775	-0.128102559048826	-0.148470354294186	-0.102681142745466	-0.0235642690426857	-0.0283290714436594	-0.0524584699978651	0.125490386396181	0.160172682080603	0.155787567153821	0.491859591433128	0.47597636814973	0.516239026309564	-0.116459627968414	-0.0669393147617231	-0.102094100851546
