locus_tag,LB1,LB2,LB3,Glucose1,Glucose2,Glucose3,Mannose1,Mannose2,Mannose3,Mannitol1,Mannitol2,Mannitol3,Arabinose1,Arabinose2,Arabinose3,Acetate1,Acetate2,Acetate3,Succinate1,Succinate2,Succinate3,Fumarate1,Fumarate2,Fumarate3,PCA1,PCA2,PCA3
Atu0020,621.92,603.2,587.72,548.53,510.14,527.74,520.16,513.52,544.07,507.84,513.81,509.26,467.11,527.3,505.24,127.42,110.41,185.38,87.89,102.34,93.67,157.89,163.14,158.29,226.62,141.14,155.45
Atu0021,229.48,234.55,236.17,144.51,130.95,138.53,158.79,158.89,154.78,154.53,157.76,165.46,131.36,146.7,149.43,28.24,28.54,50.92,27.13,29.32,29.16,36.62,48.31,43.57,55.27,37.42,44.82
Atu0022,2879.65,2842.48,2942.98,1386.62,1284.55,1365.85,1497.65,1711.54,1625.17,2073.15,2019.49,1809.35,1426.93,1241.6,1314.43,2128.79,5160.64,2299.67,2706.47,2059.05,1645.26,2787.65,2782.15,2953.04,1467.97,1925.68,1642.22
Atu0023,24.1,20.8,23.66,16.24,17.15,16.38,14.42,15.99,21.14,19.73,18.2,17.59,14.54,15.29,15.1,12.69,10.68,10.41,8.53,7.41,3.77,7.79,8.09,10.72,12.02,7.18,6.82
Atu0024,35.36,32.48,34.87,26.4,24.2,25.15,24.5,24.75,30.0,26.84,25.89,26.49,24.51,24.0,22.79,13.1,12.6,12.72,12.2,9.71,6.65,11.13,7.87,11.79,8.64,10.25,7.72
Atu0025,71.0,60.92,78.84,53.33,49.61,41.61,43.89,50.02,47.16,52.58,55.62,54.36,50.59,40.79,42.78,52.6,68.29,49.13,60.7,35.73,22.68,35.34,36.05,39.78,27.52,41.39,30.42
Atu0026,60.04,56.89,61.18,48.89,42.03,43.76,41.67,52.89,56.01,46.9,51.45,49.41,46.3,38.14,38.72,24.05,12.99,27.95,5.75,7.65,7.7,21.58,23.09,24.29,11.99,15.19,12.21
Atu0027,154.69,153.31,160.18,131.75,133.37,130.2,115.18,131.05,139.3,151.73,129.46,139.16,132.69,112.37,106.52,264.66,166.9,248.29,71.29,97.08,115.54,192.22,190.97,195.1,185.48,220.89,218.15
Atu0028,0.0,0.0,0.0,1.37,0.0,0.0,0.69,2.07,1.95,2.15,0.0,0.0,0.0,1.26,0.85,0.0,7.25,0.0,0.0,3.15,6.54,1.16,3.44,0.87,1.36,0.0,1.05
Atu0029,1214.42,1253.49,1236.67,688.02,553.07,719.95,1154.64,883.1,854.9,1163.88,1177.93,1128.05,806.13,1109.6,1164.44,76.58,107.18,187.72,88.97,88.58,119.19,129.76,151.51,126.46,658.25,179.37,283.57
Atu0030,98.02,111.23,106.7,100.24,89.7,109.61,124.45,113.96,142.53,119.02,122.49,130.38,100.0,114.1,127.77,44.31,39.05,51.68,41.79,27.72,34.54,49.88,43.06,60.94,44.46,45.06,43.34
Atu0031,423.92,393.47,436.38,471.85,418.14,502.37,484.07,462.77,526.24,457.41,501.56,453.31,418.88,430.35,490.35,184.55,148.4,206.39,97.47,111.64,127.34,194.68,221.74,184.1,210.08,179.16,187.88
Atu0032,39.44,28.15,31.86,31.89,14.58,27.03,23.02,23.27,23.44,22.05,17.96,27.04,18.82,24.19,33.77,16.13,17.21,10.47,12.91,10.97,8.35,13.79,21.97,16.58,10.93,10.03,7.35
Atu0033,96.6,87.45,89.07,58.45,44.46,58.62,63.95,57.42,65.89,63.08,56.29,56.8,51.28,60.17,58.61,50.16,55.48,49.43,54.52,47.17,43.76,80.45,82.43,77.32,33.02,48.6,38.35
Atu0034,384.83,362.98,378.75,187.49,147.69,170.1,205.06,218.92,210.43,243.94,240.97,229.71,186.51,140.55,170.77,356.42,363.24,341.41,502.47,503.91,494.04,599.26,605.21,658.15,441.84,399.43,357.52
Atu0035,44.06,40.3,45.97,18.9,19.83,20.56,27.52,31.69,29.24,40.82,53.51,44.91,1723.99,1815.44,1800.24,114.99,196.74,96.15,319.72,478.03,653.5,1717.96,1052.01,1531.16,118.6,139.32,159.32
Atu0036,47.43,50.15,53.58,35.62,39.15,33.34,38.97,40.25,59.56,39.15,36.05,44.85,47.97,47.48,69.98,11.99,12.02,12.8,6.17,9.38,3.25,9.97,10.67,16.43,10.42,8.34,11.0
Atu0037,95.9,93.44,87.26,108.73,107.89,102.64,91.61,105.43,109.73,96.32,98.15,90.23,96.96,97.08,112.3,13.46,15.97,23.16,9.46,10.88,8.02,15.76,17.82,21.7,20.08,15.33,13.05
Atu0038,91.99,116.4,81.97,88.81,108.04,96.35,91.55,74.7,92.16,90.12,89.89,91.44,77.47,87.73,105.86,9.06,12.85,15.57,8.29,6.82,6.54,9.31,18.91,18.17,10.58,8.53,13.71
Atu0039,224.05,223.83,212.98,203.1,206.79,205.51,202.51,195.93,214.72,188.79,211.26,195.85,183.79,193.44,192.71,19.73,26.51,45.0,23.18,20.35,17.72,30.58,43.02,34.45,27.31,30.23,26.83
Atu0040,155.1,146.83,156.14,163.62,153.66,146.3,132.95,159.65,167.33,152.78,146.45,147.43,118.27,134.95,146.45,18.63,20.23,30.39,17.84,16.45,13.29,33.97,37.44,24.49,18.72,24.37,20.21
Atu0041,200.26,184.09,200.37,231.53,191.35,228.53,198.36,177.66,224.0,177.54,188.33,183.58,190.86,207.63,179.44,28.8,31.8,43.82,16.99,23.76,22.78,26.07,42.5,25.62,27.34,27.33,34.91
Atu0043,497.43,491.27,490.55,486.05,445.84,454.89,463.81,380.37,419.45,359.24,366.05,353.9,431.22,436.04,461.48,34.41,35.22,87.7,36.78,43.0,34.89,54.65,81.5,60.34,49.07,48.02,66.69
Atu0044,557.79,476.12,495.19,137.44,108.73,134.45,208.38,223.28,196.51,261.86,294.83,254.62,145.44,158.53,142.47,209.01,224.42,206.41,282.87,235.73,199.71,336.22,369.29,366.83,144.65,247.72,204.73
Atu0045,461.67,444.28,423.21,145.7,111.15,153.13,231.39,226.99,196.28,264.55,242.28,227.93,168.07,172.75,168.92,78.28,93.42,92.82,121.39,119.44,134.41,203.44,222.76,218.28,78.0,113.16,111.83
Atu0046,133.85,129.22,137.28,118.92,95.49,100.95,126.87,99.18,115.3,98.77,83.07,99.33,100.35,108.38,123.06,20.76,17.9,30.25,13.08,19.01,16.08,23.23,23.45,18.86,25.75,26.82,26.36
Atu0047,131.16,119.58,109.13,122.5,112.11,119.59,138.66,140.38,141.87,157.0,151.08,166.95,1161.36,1145.06,1197.29,112.13,93.31,117.75,122.5,164.52,176.59,159.64,181.89,168.38,278.1,119.32,128.9
Atu0048,383.26,375.32,391.67,581.78,468.03,565.72,641.15,597.25,606.23,558.11,566.68,541.47,596.7,583.56,698.39,28.63,27.56,96.71,22.11,16.0,12.58,22.31,18.9,21.04,30.8,31.86,21.31
Atu0049,36.79,31.74,27.88,36.43,24.01,28.71,43.6,55.77,44.54,40.41,46.52,41.93,43.93,31.14,39.4,100.98,117.26,88.76,120.93,101.09,74.09,87.31,96.29,93.15,27.98,84.58,54.85
Atu0050,306.46,280.93,294.35,238.65,220.7,253.72,258.12,237.86,255.25,287.01,262.2,257.08,233.88,212.49,259.1,103.43,80.41,121.28,56.69,73.15,79.85,100.71,112.12,101.55,147.19,94.29,119.44
Atu0051,26.29,27.64,27.07,21.49,22.54,27.04,30.27,27.12,21.38,26.04,29.27,25.41,21.84,24.86,23.59,13.84,9.79,10.51,6.64,7.8,8.64,12.69,11.22,14.04,19.01,12.81,13.85
